index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,cancellation,meal,check_in_baggage,cabin_baggage,origin_name,destination_name
0,DEL,BOM,08:00:00,2,02:10:00,10:10:00,2,G8334,G8,Go First,4589,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
1,DEL,BOM,10:55:00,2,02:15:00,13:10:00,2,G8338,G8,Go First,4589,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
2,DEL,BOM,19:45:00,2,02:15:00,22:00:00,2,G8346,G8,Go First,4589,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
3,DEL,BOM,20:50:00,2,02:15:00,23:05:00,2,G8330,G8,Go First,4589,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
4,DEL,BOM,07:20:00,5,02:15:00,09:35:00,5,SG8701,SG,SpiceJet,4813,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
5,DEL,BOM,19:45:00,5,02:15:00,22:00:00,5,SG8169,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
6,DEL,BOM,19:45:00,6,02:15:00,22:00:00,6,SG8169,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
7,DEL,BOM,21:40:00,2,02:15:00,23:55:00,2,SG711,SG,SpiceJet,4882,,,not available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
8,DEL,BOM,21:40:00,5,02:15:00,23:55:00,5,SG711,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
9,DEL,BOM,07:20:00,4,02:15:00,09:35:00,4,SG8701,SG,SpiceJet,4882,,,available,not available,max 7 kg,max 15 kg,Delhi,Mumbai
10,DEL,BOM,21:40:00,6,02:15:00,23:55:00,6,SG711,SG,SpiceJet,4882,,,available,chargeable,max 7 kg,max 15 kg,Delhi,Mumbai
